DBN,School Name, Average Score SAT Math,Average Score SAT Reading and Writing,4-Year Graduation Rate,Average Regents Score - English , Average Regents Score - Algebra I 
84M708,Harlem Prep Charter School,,,,,76.5
84M709,Harlem Village Academy Charter School,,,98.00%,72.6,76.8
84M726,KIPP STAR College Prep Charter School,488.9,507.6,100.00%,71.4,73.6
84Q320,New Visions Charter High School for Advanced Math,,,,67.7,64.7
84Q705,Renaissance Charter School,491.8,523.9,89.80%,85.6,71.5
84R067,John W. Lavelle Preparatory Charter School,475,463.8,96.00%,78.6,70.2
84X185,Bronx Lighthouse Charter School,542.4,530.9,88.10%,64.4,69.7
84X202,New Visions Charter High School for Advanced Math,457.7,455.2,98.20%,73.2,70
84X208,New Visions Charter High School for the Humanities,422.3,459.4,79.50%,68.2,58.1
84X345,Hyde Leadership Charter School,471.9,487.3,83.90%,67.4,68.4
84X347,International Leadership Charter High School,460,491.9,89.30%,75.1,70.3
84X393,University Prep Charter High School,489.9,505.1,97.40%,78.9,72.2
84X395,"NYC Charter High School for Architecture, Engineer",438.6,448.4,96.50%,72,72.1
84X429,Charter High School for Law and Social Justice,,,,,66.6
84X482,Dr. Richard Izquierdo Health and Science Charter S,465.2,476.1,95.60%,80.8,75
84X488,The Equality Charter School,,,,69.2,70.9
84X539,New Visions Charter High School for Advanced Math,463.1,476.5,86.40%,60.8,67.6
84X553,New Visions Charter High School for the Humanities,415.7,430.9,90.10%,70.7,65.6
84X581,South Bronx Community Charter School,,,,,
84X703,Bronx Preparatory Charter School,476.1,497.2,90.30%,76.6,72.7
84X704,KIPP Academy Charter School,534.3,512.4,93.60%,77.2,76.9
